reference: https://satsuite.collegeboard.org/media/pdf/understanding-sat-scores.pdf
Percentiles for Total SAT Score 2021
grade national user
1600 99+ 99+
1590 99+ 99+
1580 99+ 99+
1570 99+ 99+
1560 99+ 99+
1550 99+ 99
1540 99+ 99
1530 99+ 99
1520 99+ 99
1510 99 98
1500 99 98
1490 99 98
1480 99 97
1470 99 97
1460 99 96
1450 99 96
1440 98 95
1430 98 95
1420 98 94
1410 97 94
1400 97 93
1390 97 93
1380 96 92
1370 96 91
1360 95 91
1350 94 90
1340 94 89
1330 93 88
1320 93 87
1310 92 87
1300 91 86
1290 90 85
1280 89 84
1270 88 83
1260 87 82
1250 86 81
1240 85 79
1230 84 78
1220 83 77
1210 82 76
1200 81 74
1190 80 73
1180 78 72
1170 77 70
1160 76 69
1150 74 67
1140 73 66
1130 71 64
1120 70 63
1110 69 61
1100 67 59
1090 65 58
1080 63 56
1070 61 54
1060 60 52
1050 58 51
1040 56 49
1030 54 47
1020 52 45
1010 50 44
1000 48 42
990 46 40
980 44 39
970 42 37
960 40 35
950 38 34
940 36 32
930 35 30
920 33 29
910 31 27
900 29 26
890 27 24
880 26 23
870 24 21
860 23 20
850 21 19
840 20 17
830 18 16
820 17 15
810 16 13
800 14 12
790 13 11
780 11 10
770 10 9
760 9 8
750 8 7
740 7 6
730 6 5
720 5 4
710 4 3
700 4 3
690 3 2
680 2 2
670 2 1
660 1 1
650 1 1
640 1 1
630 1 1
620 1- 1-
610 1- 1-
600 1- 1-
590 1- 1-
580 1- 1-
570 1- 1-
560 1- 1-
550 1- 1-
540 1- 1-
530 1- 1-
520 1- 1-
510 1- 1-
500 1- 1-
490 1- 1-
480 1- 1-
470 1- 1-
460 1- 1-
450 1- 1-
440 1- 1-
430 1- 1-
420 1- 1-
410 1- 1-
400 1- 1-
